passage_id,version,model,surprisal
7,B,GPT2,4.371529417378562
7,B,Mistral-7B,3.314682006835937
7,B,pythia-12b-deduped,3.3822120811258043
7,B,LLaMa-3.1-8B,2.923153670238597
7,B,Mistral-24B,2.2482235431671143
7,D,GPT2,4.454138479062489
7,D,Mistral-7B,3.202188014984131
7,D,pythia-12b-deduped,3.35129637164729
7,D,LLaMa-3.1-8B,3.1649178953043053
7,D,Mistral-24B,2.8351768255233765
8,A,GPT2,3.98423285484314
8,A,Mistral-7B,2.551560538155692
8,A,pythia-12b-deduped,2.9430340883360864
8,A,LLaMa-3.1-8B,3.0857733376324177
8,A,Mistral-24B,2.786756674448649
8,C,GPT2,3.929277010262013
8,C,Mistral-7B,2.467221260070801
8,C,pythia-12b-deduped,3.0910846462744908
8,C,LLaMa-3.1-8B,3.2706340231001376
8,C,Mistral-24B,2.8024681409200034
8,B,GPT2,2.0476369142532347
8,B,Mistral-7B,0.885888671875
8,B,pythia-12b-deduped,1.6936981350183486
8,B,LLaMa-3.1-8B,0.6821307420730591
8,B,Mistral-24B,0.80517578125
8,D,GPT2,2.109596759080887
8,D,Mistral-7B,0.9563232421875
8,D,pythia-12b-deduped,1.7225441306829452
8,D,LLaMa-3.1-8B,0.79949991106987
8,D,Mistral-24B,0.79937744140625
9,A,GPT2,2.2379374972411563
9,A,Mistral-7B,1.6719796316964286
9,A,pythia-12b-deduped,1.8786438320364272
9,A,LLaMa-3.1-8B,2.199358139719282
9,A,Mistral-24B,2.271484375
9,C,GPT2,2.214364843709128
9,C,Mistral-7B,1.7526506696428572
9,C,pythia-12b-deduped,1.9077306645257133
9,C,LLaMa-3.1-8B,2.244191884994507
9,C,Mistral-24B,2.1547154017857144
9,B,GPT2,2.7547889351844788
9,B,Mistral-7B,2.501674107142857
9,B,pythia-12b-deduped,2.3716050812176297
9,B,LLaMa-3.1-8B,2.482427252190454
9,B,Mistral-24B,2.266741071428572
9,D,GPT2,2.810682935374124
9,D,Mistral-7B,2.498814174107143
9,D,pythia-12b-deduped,2.428345322608948
9,D,LLaMa-3.1-8B,2.496034485953195
9,D,Mistral-24B,2.224609375
10,A,GPT2,1.506131115059058
10,A,Mistral-7B,1.4061381022135415
10,A,pythia-12b-deduped,1.2137388562162716
10,A,LLaMa-3.1-8B,1.2568646123011906
10,A,Mistral-24B,1.0589396158854167
10,C,GPT2,1.5288046424587567
10,C,Mistral-7B,1.440948486328125
10,C,pythia-12b-deduped,1.2322265108426411
10,C,LLaMa-3.1-8B,1.2307075435916583
10,C,Mistral-24B,1.1400146484375
10,B,GPT2,2.09444854905208
10,B,Mistral-7B,1.7034810384114585
10,B,pythia-12b-deduped,2.109401245911916
10,B,LLaMa-3.1-8B,1.670870838065942
10,B,Mistral-24B,1.4354248046875
10,D,GPT2,2.0521856571237245
10,D,Mistral-7B,1.6650899251302085
10,D,pythia-12b-deduped,2.020892289777597
10,D,LLaMa-3.1-8B,1.6972342977921169
10,D,Mistral-24B,1.4405314127604167
11,A,GPT2,1.6182354475770675
11,A,Mistral-7B,1.4037214006696428
11,A,pythia-12b-deduped,1.8418372912066323
11,A,LLaMa-3.1-8B,1.3461972794362478
11,A,Mistral-24B,1.0755440848214286
11,C,GPT2,1.6429140099457331
11,C,Mistral-7B,1.3944266183035714
11,C,pythia-12b-deduped,1.8927823560578485
11,C,LLaMa-3.1-8B,1.3212739889110838
11,C,Mistral-24B,1.169677734375
11,B,GPT2,2.2754385266453028
11,B,Mistral-7B,2.1439743041992188
11,B,pythia-12b-deduped,2.2277338029816747
11,B,LLaMa-3.1-8B,1.9334054528735578
11,B,Mistral-24B,1.7276840209960938
11,D,GPT2,2.299056968651712
11,D,Mistral-7B,2.3580856323242188
11,D,pythia-12b-deduped,2.3257195139303803
11,D,LLaMa-3.1-8B,2.0046029342338443
11,D,Mistral-24B,1.8111038208007808
12,A,GPT2,2.3747916035354137
12,A,Mistral-7B,2.455387115478516
